CustomerID,LastPurchase,Frequency,Monetary,Recency
16316,48:00.0,8,2938.91,64
14656,51:00.0,2,291.05,169
15984,16:00.0,10,2837.67,2
18237,49:00.0,5,987.1,2
14988,05:00.0,1,334.54,211
15652,22:00.0,1,337.74,91
15320,27:00.0,1,267.13,44
13992,23:00.0,1,76.8,30
17218,52:00.0,10,1960.72,4
15343,55:00.0,1,364.5,87
15675,48:00.0,3,323.69,81
17550,09:00.0,3,267.16,197
16671,40:00.0,3,1692.27,28
16339,41:00.0,1,109.95,284
16007,05:00.0,4,1701.94,47
13777,25:00.0,33,25977.16,0
13113,49:00.0,24,12245.96,0
17690,17:00.0,15,4757.95,30
17527,32:00.0,4,939.37,53
17026,28:00.0,2,154.83,185
12781,37:00.0,2,826.74,63
16030,28:00.0,1,331.24,309
17358,57:00.0,2,365.85,303
18191,08:00.0,1,207.8,261
18022,45:00.0,1,668.11,35
16362,01:00.0,5,734.77,32
16531,29:00.0,7,1244.59,22
12449,46:00.0,4,4067.29,22
17859,32:00.0,1,148.21,304
15366,01:00.0,2,602.51,75
16863,26:00.0,2,502.8,31
16717,16:00.0,6,3858.38,23
18168,21:00.0,6,1169.94,176
17381,59:00.0,29,20275.61,8
16385,12:00.0,3,555.89,60
17049,48:00.0,9,5659.98,2
13090,39:00.0,14,8910.82,8
18045,07:00.0,1,189.4,45
17504,59:00.0,9,2997.03,206
17836,13:00.0,1,110.21,47
12758,22:00.0,2,2791.59,116
12426,26:00.0,1,582.73,194
17172,36:00.0,1,317.76,78
15844,19:00.0,1,130.74,46
17404,26:00.0,15,31906.82,4
15157,28:00.0,3,1936.07,3
14155,13:00.0,1,118.75,266
13491,32:00.0,10,1215.82,51
12904,34:00.0,2,509.58,18
12827,17:00.0,3,430.15,5
16485,50:00.0,1,363.65,77
14819,41:00.0,2,272.07,64
18068,50:00.0,1,101.7,289
15821,48:00.0,2,570.96,44
13468,39:00.0,37,5704.97,1
15134,55:00.0,8,1387.99,14
14132,35:00.0,11,3586.03,2
13591,26:00.0,3,1117.13,64
16462,24:00.0,3,136,73
14470,31:00.0,2,461.19,11
15529,29:00.0,11,3995.23,22
12950,17:00.0,3,1843,2
17696,43:00.0,8,2285.71,38
14447,28:00.0,5,1163.23,18
14865,25:00.0,2,52.2,7
15111,58:00.0,3,1567.48,29
13614,47:00.0,4,1610.46,24
16193,45:00.0,1,314.45,236
15775,56:00.0,1,104.9,245
14424,48:00.0,1,322.08,17
14178,01:00.0,7,1620.93,8
13637,32:00.0,3,810.5,52
15506,11:00.0,3,979.26,22
13760,13:00.0,2,286.79,54
16170,21:00.0,6,1885.05,50
14301,33:00.0,1,640.14,117
14965,20:00.0,2,599,96
14842,37:00.0,4,2824.69,43
15088,14:00.0,2,1160.07,21
18231,18:00.0,5,2083.27,192
13405,01:00.0,3,572.45,74
16654,23:00.0,4,601.27,141
16903,32:00.0,1,373.24,29
13654,24:00.0,6,2707.33,43
16986,55:00.0,2,1873.2,29
12409,38:00.0,3,11072.67,78
13986,00:00.0,1,320.46,17
13737,32:00.0,1,339.6,200
17235,51:00.0,2,550.06,25
15907,21:00.0,3,967.45,3
12658,22:00.0,1,686.05,18
13013,01:00.0,13,4810.94,1
14341,48:00.0,8,2182.28,45
13050,18:00.0,17,5836.86,14
15220,39:00.0,6,1778.96,51
17673,50:00.0,6,1629.12,1
14673,31:00.0,5,1736.4,3
17341,33:00.0,3,781.36,156
16216,34:00.0,1,914.93,267
13345,01:00.0,1,389.5,287
12718,38:00.0,1,238.25,71
12612,35:00.0,1,704.04,74
18277,22:00.0,1,110.38,58
12363,18:00.0,2,552,109
15612,52:00.0,2,195.15,36
16940,15:00.0,3,3049.88,52
15280,14:00.0,1,113.12,172
12967,10:00.0,2,1660.9,358
17590,55:00.0,3,1479.22,2
13299,55:00.0,1,142.5,268
17295,49:00.0,3,556.95,28
15967,41:00.0,2,418.83,23
14487,17:00.0,6,1196.33,26
17736,36:00.0,3,377.44,9
16153,50:00.0,5,1824.23,49
16402,25:00.0,2,299.6,264
14238,40:00.0,1,146.85,326
17481,28:00.0,4,1255.59,3
12572,20:00.0,2,1020.42,8
13159,20:00.0,4,1437.85,8
12910,28:00.0,8,3075.04,23
13153,14:00.0,1,486.22,5
15074,45:00.0,1,748.87,105
12472,01:00.0,7,6572.11,32
13800,27:00.0,1,558.32,309
13259,48:00.0,1,292.32,61
16800,06:00.0,1,1201.49,11
15466,08:00.0,1,334.53,85
14138,44:00.0,2,982.38,1
13946,33:00.0,3,561.57,79
13700,00:00.0,10,2265.12,26
12618,10:00.0,1,177.31,21
14533,05:00.0,7,1949.72,24
15028,06:00.0,4,627.13,8
15861,59:00.0,8,3165.36,12
14779,42:00.0,3,386.15,280
13451,58:00.0,5,2976.15,26
12864,03:00.0,1,147.12,138
15174,06:00.0,1,135.75,322
13305,15:00.0,10,2000.86,4
12764,19:00.0,1,1693.88,316
14633,07:00.0,1,344.9,266
14092,13:00.0,14,4076.91,7
14387,29:00.0,3,1770.56,32
18174,56:00.0,1,104,7
13846,07:00.0,3,865.06,24
13551,46:00.0,1,91.8,319
14739,54:00.0,7,3902.28,4
14573,15:00.0,9,1653.42,179
15237,46:00.0,4,1412.32,1
16233,27:00.0,3,536.68,71
18154,41:00.0,2,399.19,3
14075,38:00.0,3,942.26,4
14241,46:00.0,1,213.7,183
15071,43:00.0,2,982.07,93
12509,45:00.0,1,176.5,284
15214,07:00.0,8,1661.44,1
13720,46:00.0,4,799.9,116
14218,00:00.0,1,169.48,42
15380,13:00.0,5,1690.26,8
14716,29:00.0,2,329.68,43
14882,47:00.0,2,589.7,26
16113,16:00.0,1,161.38,183
17109,59:00.0,6,885.04,29
13199,30:00.0,38,9817.12,3
16780,09:00.0,2,425.19,100
14859,18:00.0,4,1353.74,12
16445,32:00.0,1,230.51,33
12867,30:00.0,7,4036.82,26
17444,05:00.0,3,2940.04,147
13863,20:00.0,1,305.78,247
15449,02:00.0,3,974.52,26
13030,30:00.0,2,799.48,11
17086,54:00.0,6,2050.08,7
14049,20:00.0,4,5681.72,16
17799,16:00.0,10,3055.93,22
12844,31:00.0,2,325.96,29
13385,52:00.0,1,534.57,329
13508,58:00.0,1,110.97,243
14381,10:00.0,1,202.68,52
16754,38:00.0,1,2002.4,372
14404,30:00.0,6,1474.32,33
15904,50:00.0,1,164.68,8
15406,22:00.0,2,510.71,31
13242,53:00.0,3,270.4,112
17321,41:00.0,2,700.86,8
17819,52:00.0,7,3704.87,71
16070,50:00.0,2,852.15,22
13740,32:00.0,1,350.75,240
17985,24:00.0,1,634.95,22
16468,13:00.0,1,74.9,74
15257,58:00.0,1,317.15,283
15921,03:00.0,1,336.03,172
18085,17:00.0,2,689.95,330
15755,57:00.0,6,2364.25,10
17962,16:00.0,1,102.83,142
13763,13:00.0,1,1714.96,63
17919,41:00.0,1,1304.04,88
13365,36:00.0,2,2225.37,33
15114,05:00.0,10,2760.56,30
12701,47:00.0,2,797.71,79
14032,23:00.0,11,2975.59,2
15947,46:00.0,1,1708.24,82
14696,43:00.0,7,2078.95,4
17942,45:00.0,1,77.5,7
17278,10:00.0,1,246.04,241
16611,46:00.0,1,129.49,186
12532,47:00.0,1,349.83,30
16711,32:00.0,5,1651.03,3
14547,06:00.0,8,4007.54,3
17301,43:00.0,1,197.63,21
14006,39:00.0,3,962.19,115
13883,45:00.0,5,2674.48,10
